longitude,latitude,population,median_income,median_house_value
-122.21,37.8,1260,2.8929,216700
-122.21,37.8,951,3.0812,233100
-122.21,37.81,510,5.2402,296400
-122.22,37.81,765,6.5217,273700
-122.22,37.8,1129,3.2632,227700
-122.22,37.8,1073,3.0298,199600
-122.22,37.8,1185,4.5428,239800
-122.22,37.81,756,4.072,270100
-122.22,37.81,1034,5.3509,302100
-122.23,37.8,787,3.1603,269500
-122.23,37.81,612,4.7708,314700
-122.22,37.81,1021,8.1564,390100
-122.23,37.81,861,8.8793,410300
-122.24,37.81,953,6.8591,352400
-122.24,37.81,634,6.0302,287300
-122.23,37.81,878,7.508,348700
-122.24,37.81,918,2.7477,243800
-122.24,37.8,360,2.1944,211500
-122.25,37.8,1197,3.0149,218400
-122.24,37.81,1048,3.675,269900
-122.25,37.81,1373,3.225,218800
-122.25,37.8,1715,2.9345,225000
-122.25,37.8,1359,2.1429,250000
-122.25,37.8,1062,1.6121,171400
-122.25,37.8,1335,1.3929,193800
-122.24,37.79,1171,2.3173,125000
-122.25,37.79,1475,1.7772,97500
-122.25,37.79,742,2.6458,125000
-122.25,37.79,1086,2.181,138800
-122.25,37.8,1645,2.2303,116700
-122.25,37.8,1710,1.6504,151800
-122.24,37.8,731,2.2697,127000
-122.24,37.8,1118,2.1563,128600
-122.24,37.8,1006,2.1348,140600
-122.24,37.8,1213,2.6292,182700
-122.23,37.8,772,2.3833,146900
-122.24,37.8,1321,2.957,122800
-122.24,37.8,1487,2.5238,169300
-122.23,37.8,488,1.9375,126600
-122.23,37.8,949,1.9028,127900
-122.23,37.8,1149,2.25,123500
-122.23,37.8,844,2.3929,111900
-122.23,37.79,4367,2.1917,112800
-122.23,37.79,1659,2.9357,107900
-122.23,37.79,1011,1.8854,137500
-122.24,37.79,1464,2.1638,105500
-122.24,37.79,1237,2.125,95500
-122.24,37.79,647,3.375,116100
-122.24,37.79,1284,2.2542,112200
-122.25,37.79,228,2.1,75000
-122.25,37.79,381,1.6,112500
-122.25,37.79,846,3.625,125000
-122.26,37.8,1659,1.6929,115000
-122.22,37.77,520,1.6471,95000
-122.22,37.77,866,2.59,96400
-122.23,37.77,612,2.57,72000
-122.23,37.78,415,2.6429,71300
-122.23,37.78,994,3.0257,80800
-122.22,37.78,1525,1.4886,128800
-122.23,37.78,1506,1.9338,112500
-122.23,37.78,1008,1.4844,119400
-122.23,37.78,2813,1.6009,118100
-122.23,37.79,1481,2.0375,122500
-122.23,37.79,859,2.293,106300
-122.22,37.79,1608,2.1494,132500
-122.23,37.79,425,1.6198,122700
-122.23,37.79,564,1.3281,113300
-122.22,37.79,961,3.5156,109500
-122.22,37.79,2273,3.9048,164700
-122.21,37.79,600,3.0893,125000
-122.22,37.79,1647,2.6042,124700
-122.22,37.79,1201,2.5,136700
-122.22,37.79,2167,2.7969,141700
-122.2,37.79,939,2.8321,150000
-122.21,37.79,859,2.9583,138800
-122.21,37.79,1517,2.8365,139200
-122.21,37.79,1143,2.875,143800
-122.21,37.8,1109,3.0682,156500
-122.21,37.8,1221,3.0757,151000
-122.2,37.8,1115,4.9559,273000
-122.2,37.8,706,4.7721,217100
-122.21,37.8,1883,3.4861,187100
-122.2,37.8,804,5.1184,239600
-122.21,37.8,506,4.0977,229700
-122.19,37.8,610,4.744,257300
-122.19,37.8,768,4.2727,246900
-122.19,37.79,462,2.9844,179900
-122.2,37.79,667,4.1739,169600
-122.2,37.8,1059,3.8487,203300
-122.19,37.8,637,4.0114,263400
-122.19,37.79,1106,4.6563,231800
-122.19,37.79,1737,2.9297,140500
-122.2,37.79,1009,2.3036,126000
-122.2,37.79,737,2.6667,122000
-122.2,37.79,1354,2.619,134700
-122.21,37.79,1530,2.4167,139400
-122.2,37.79,1410,2.7788,115400
-122.21,37.78,1390,2.7352,137300
-122.21,37.78,1065,1.8472,137000
-122.21,37.78,792,2.6583,142600
-122.21,37.78,779,3.0536,137500
-122.22,37.78,2269,2.3906,111700
-122.21,37.78,1227,1.7188,126800
-122.21,37.78,753,2.625,111300
-122.22,37.77,547,2.8015,114800
-122.22,37.78,1807,1.7276,102300
-122.22,37.78,1700,2.0801,131900
-122.22,37.78,1543,2.489,119100
-122.21,37.76,1085,1.7546,80600
-122.21,37.77,353,4.0904,80600
-122.21,37.77,473,2.6765,88800
-122.2,37.77,1621,2.4338,102400
-122.21,37.77,1183,2.3309,98700
-122.21,37.77,836,2.2604,100000
-122.19,37.77,900,1.8039,92300
-122.2,37.77,1888,2.2562,94800
-122.2,37.77,1024,2.0562,102000
-122.2,37.78,1225,3.5398,158400
-122.2,37.78,1071,3.1167,121600
-122.2,37.78,1128,2.5401,129100
-122.2,37.77,1537,2.898,121400
-122.21,37.78,1240,2.3125,102800
-122.19,37.78,469,2.875,160000
-122.19,37.77,1086,3.3715,143900
-122.19,37.77,1144,3.5114,151200
-122.19,37.78,1109,4.3125,164400
-122.19,37.78,984,3.22,156500
-122.18,37.78,575,3.875,225000
-122.19,37.78,496,5.2328,174200
-122.19,37.78,555,3.7262,166900
-122.2,37.78,869,4.5893,163500
-122.18,37.79,236,5.2578,253000
-122.18,37.79,626,7.0875,240700
-122.18,37.79,922,3.9712,208100
-122.19,37.79,582,2.9514,198100
-122.19,37.79,546,2.6667,172800
-122.18,37.81,620,5.4446,336700
-122.18,37.8,442,6.2838,318200
-122.18,37.8,955,6.7527,285800
-122.13,37.77,916,7.0712,293000
-122.16,37.79,4985,5.9849,371000
-122.17,37.78,651,3.6875,157300
-122.17,37.77,1704,2.875,135300
-122.18,37.78,1085,3.4205,136700
-122.18,37.78,713,3.2984,160700
-122.17,37.78,468,3.875,140600
-122.17,37.78,296,4.175,144000
-122.16,37.77,570,4.375,161900
-122.16,37.77,446,4.7708,156300
-122.16,37.77,968,3.5739,176000
-122.16,37.77,857,3.0958,145800
-122.17,37.77,912,3.3958,141900
-122.17,37.77,1360,1.871,90700
-122.17,37.76,1074,1.9356,90600
-122.17,37.76,965,2.1842,107900
-122.18,37.76,933,2.2917,107000
-122.17,37.76,987,2.4333,98200
-122.18,37.76,907,1.9479,89500
-122.18,37.76,447,3.9063,93800
-122.18,37.76,1299,1.8407,96700
-122.18,37.77,396,2.0786,97500
-122.18,37.77,877,2.8125,97300
-122.18,37.76,1111,1.8913,91200
-122.19,37.76,790,1.7056,91400
-122.18,37.77,1479,2.2768,96200
-122.18,37.77,1173,3.2552,120100
-122.18,37.77,1029,2.0556,100000
-122.19,37.76,1030,2.4659,94700
-122.2,37.76,826,1.75,85700
-122.19,37.77,1412,2.0469,89300
-122.19,37.77,1132,2.7159,101400
-122.19,37.76,522,1.2083,72500
-122.19,37.76,630,1.925,74100
-122.2,37.75,531,1.5809,70000
-122.2,37.76,1925,1.4097,84600
-122.19,37.76,1144,0.7683,81800
-122.19,37.75,1481,1.3194,81400
-122.19,37.75,435,0.8012,81800
-122.19,37.76,984,1.9479,85800
-122.19,37.74,567,1.1765,87100
-122.18,37.74,380,2.3456,83500
-122.19,37.73,825,2.1538,79700
-122.19,37.74,417,2.5139,83400
-122.19,37.73,801,1.2625,84700
-122.18,37.73,646,2.9063,80000
-122.18,37.73,855,2.5192,76400
-122.18,37.73,435,2.1111,79700
-122.18,37.73,2736,2.455,82400
-122.17,37.74,1481,2.4028,97700
-122.17,37.74,327,2.15,97200
-122.17,37.74,494,2.4776,101600
-122.17,37.73,1231,2.1587,86500
-122.18,37.74,323,1.8438,90500
-122.17,37.74,749,3.0298,107600
-122.17,37.74,693,2.25,84200
-122.18,37.74,1339,2.2467,88900
-122.18,37.75,282,4.0469,80700
-122.18,37.75,621,1.325,87100
-122.17,37.75,732,1.6196,85100
-122.18,37.75,901,2.1731,82000
-122.19,37.75,482,1.9167,82800
-122.18,37.75,652,2.069,84600
-122.18,37.75,651,1.712,82100
-122.17,37.76,999,2.5625,89300
-122.17,37.75,907,1.9821,98300
-122.17,37.75,828,2.5043,92300
-122.17,37.75,763,2.3281,88800
-122.17,37.75,935,1.4375,90000
-122.16,37.76,1437,2.5122,95500
-122.16,37.75,1516,1.5625,91700
-122.17,37.75,597,3.1587,100400
-122.17,37.76,949,1.8426,94800
-122.16,37.76,881,4.6696,164300
-122.16,37.76,1438,2.4598,155500
-122.15,37.76,763,6.0749,196900
-122.14,37.77,1297,4.8304,279100
-122.14,37.76,545,5.5701,252800
-122.13,37.76,1222,5.37,275400
-122.12,37.75,808,6.86,250000
-122.12,37.75,329,7.6923,329800
-122.14,37.75,299,4.0313,195500
-122.14,37.75,579,6.8323,255900
-122.13,37.75,137,4.975,311100
-122.13,37.75,229,5.3602,330000
-122.13,37.74,1476,5,248900
-122.16,37.75,429,2.925,142900
-122.15,37.75,849,3.8913,126300
-122.15,37.75,946,3.225,135800
-122.15,37.74,571,3.1458,130600
-122.16,37.75,1137,2.537,107900
-122.16,37.75,378,2.5568,111100
-122.15,37.74,853,3.5083,122000
-122.15,37.74,764,3.3125,118000
-122.16,37.75,928,1.8235,95200
-122.16,37.75,406,3.8047,94300
-122.17,37.74,824,2.2917,92500
-122.17,37.75,835,2.4962,91800
-122.16,37.74,826,4.0417,109400
-122.16,37.74,567,3.4844,129500
-122.16,37.74,355,4.1458,143400
-122.16,37.74,533,2.625,98200
-122.16,37.74,609,2.0227,103100
-122.29,37.9,576,3.3333,276800
-122.29,37.9,594,5.338,270900
-122.29,37.89,870,3.4732,246200
-122.3,37.9,1027,3.5125,224200
-122.29,37.89,693,3.1375,229100
-122.3,37.89,815,2.8036,211600
-122.3,37.9,2420,4.5824,256100
-122.3,37.89,518,3.0208,206300
-122.3,37.89,620,4.0875,221300
-122.33,37.89,551,4.5268,207400
-122.34,37.88,2556,1.7375,350000
-122.29,37.89,1498,3.1795,218200
-122.29,37.88,523,3.8672,216700
-122.29,37.89,374,5.1675,270600
-122.29,37.89,1004,5.1696,261400
-122.28,37.88,769,4.2614,261300
-122.29,37.89,940,5.0551,232200
-122.27,37.9,645,5.6228,375400
-122.26,37.9,705,7.8864,357300
-122.27,37.9,684,7.9556,374400
-122.27,37.9,572,6.174,358800
-122.27,37.9,671,6.9414,417500
-122.27,37.89,975,8.8342,430500
-122.28,37.9,779,7.1754,362900
-122.28,37.9,658,10.0825,397000
-122.28,37.9,819,4.9083,346800
-122.28,37.89,412,5.7912,327100
-122.28,37.89,835,4.5893,290100
-122.28,37.89,722,5.4171,292000
-122.28,37.89,1085,4.125,270900
-122.27,37.89,973,7.266,371100
-122.27,37.89,723,5.3989,335600
-122.26,37.9,903,7.8336,371300
-122.25,37.89,356,6.1593,344000
-122.26,37.89,1005,6.381,342200
-122.26,37.89,1205,6.6828,370900
-122.25,37.89,987,7.5385,350000
-122.25,37.89,1031,6.7138,368600
-122.26,37.88,894,6.2425,391800
-122.26,37.88,823,5.7979,415300
-122.27,37.88,1232,4.2813,284900
-122.27,37.88,669,3.5417,287500
-122.27,37.88,989,3.0132,272900
-122.28,37.88,1058,4.1429,259600
-122.28,37.88,506,4.1912,254500
-122.28,37.88,489,3.9167,235600
-122.29,37.88,824,3.8897,218400
-122.29,37.88,1034,3.1065,229200
-122.29,37.88,920,2.9926,192100
-122.29,37.88,841,3.556,179300
-122.3,37.88,749,1.475,187500
-122.3,37.88,208,1.6971,138800
-122.3,37.87,228,2.1705,150000
-122.3,37.86,287,2.75,140600
-122.29,37.85,218,2.5682,120000
-122.3,37.88,854,2.9,144800
-122.3,37.87,1695,2.2208,144800
-122.28,37.88,403,3.2344,245500
-122.28,37.87,288,3.5156,200000
-122.28,37.87,963,1.9805,173700
-122.29,37.87,1129,2.6684,185600
-122.29,37.87,386,3.875,182600
-122.28,37.88,811,3.006,227900
-122.28,37.87,1293,2.543,220700
-122.28,37.87,805,2.8676,212000
-122.27,37.88,1372,2.1907,271400
-122.27,37.87,862,1.7778,268800
-122.27,37.88,1152,2.52,277800
-122.26,37.88,483,4.2788,332500
-122.26,37.88,1558,2.944,338900
-122.26,37.88,1798,1.725,287500
-122.25,37.87,266,5.2289,384600
-122.25,37.87,2184,2.5562,371400
-122.25,37.87,2016,0.949,350000
-122.25,37.87,1349,1.1696,500001
-122.26,37.87,3337,1.4012,175000
-122.26,37.87,1721,1.1859,241700
-122.27,37.87,1675,1.7464,216700
-122.27,37.87,707,2.8846,211300
-122.27,37.87,1424,2.7372,210200
-122.28,37.86,393,3.8594,196400
-122.28,37.87,828,3.5625,191700
-122.28,37.87,571,2.2788,182300
-122.29,37.87,1382,2.537,175000
-122.29,37.87,792,2.525,165900
-122.29,37.86,815,1.9946,156900
-122.28,37.86,788,2.8214,164300
-122.29,37.87,1145,2.6165,150000
-122.29,37.86,1354,1.9483,150500
-122.28,37.86,958,1.9327,169900
-122.28,37.86,1361,1.9798,147400
-122.28,37.85,1005,2.4167,152700
-122.27,37.86,924,2.5417,182700
-122.28,37.86,780,3.3906,179300
-122.28,37.86,1582,2.5652,157700
-122.28,37.86,1213,2.2845,153100
-122.27,37.86,486,2.6071,250000
-122.27,37.86,494,3.15,206300
-122.27,37.86,849,2.6914,218800
-122.27,37.86,1127,1.8447,198200
-122.26,37.86,3276,1.6307,253600
-122.26,37.86,1493,2.9044,257400
-122.26,37.86,1461,2.9405,289500
-122.26,37.86,1253,3.3893,241700
-122.25,37.86,1656,3.0417,489600
-122.25,37.86,514,7.0897,446200
-122.25,37.86,719,5.0463,456300
-122.25,37.86,878,1.7652,336800
-122.24,37.86,517,7.8521,500001
-122.24,37.85,1366,9.3959,500001
-122.25,37.86,1316,5.3794,376900
-122.26,37.85,1508,3.2619,309600
-122.27,37.85,1800,2.7054,182300
-122.27,37.85,719,2.2431,172700
-122.27,37.85,675,1.9028,150800
-122.27,37.85,875,1.5817,153600
-122.27,37.85,152,2.2841,106300
-122.27,37.85,843,1.3785,142300
-122.28,37.85,281,2.9018,119400
-122.28,37.85,506,1.73,147900
-122.28,37.85,1054,2.2625,132900
-122.29,37.84,1017,2.2106,132500
-122.28,37.83,1623,2.6997,126900
-122.3,37.84,3100,4.0018,143800
-122.23,37.83,947,7.8772,500001
-122.22,37.82,808,11.8603,500001
-122.22,37.82,1018,13.499,500001
-122.23,37.82,1001,12.2138,500001
-122.23,37.82,1005,8.1872,466100
-122.23,37.82,1192,12.3804,500001
-122.24,37.83,585,5.8948,457800
-122.24,37.83,916,8.1194,471600
-122.23,37.82,556,8.7477,500001
-122.24,37.82,1470,6.155,398600
-122.25,37.82,1104,5.883,340700
-122.23,37.76,1242,5.2128,289900
-122.23,37.76,805,4.7188,335300
-122.23,37.76,378,5.2915,333000
-122.24,37.77,481,2.6411,241000
-122.23,37.77,409,3.3214,189600
-122.24,37.77,885,3.6417,206300
-122.25,37.77,1468,3.0161,215700
-122.25,37.77,482,3.1771,210200
-122.25,37.77,825,3.4531,208800
-122.25,37.77,429,4.3098,197900
-122.26,37.78,528,3.3438,201300
-122.26,37.78,496,2.9213,190800
-122.27,37.78,718,2.6806,207900
-122.27,37.78,630,3.7708,215300
-122.27,37.78,723,3.9444,212900
-122.27,37.78,959,5.2601,292700
-122.28,37.79,3668,2.5444,275000
-122.3,37.77,2037,2.6447,200000
-122.28,37.78,3741,2.5762,173400
-122.29,37.78,821,1.9427,102200
-122.28,37.77,870,2.9688,220800
-122.28,37.77,1901,3.75,242800
-122.29,37.76,1243,5.1702,265400
-122.28,37.78,730,2.5139,219000
-122.26,37.77,793,2.9732,282100
-122.27,37.77,1033,5.5337,372000
-122.27,37.77,872,4.1667,225800
-122.27,37.77,849,2.7115,220800
-122.27,37.77,1121,3.3269,234500
-122.25,37.77,872,3.2685,254200
-122.26,37.77,637,4.7778,351800
-122.26,37.77,663,4.226,275000
-122.26,37.77,411,3.3571,405400
-122.26,37.77,915,2.9899,228100
-122.26,37.77,921,2.875,234000
-122.24,37.77,585,2.3882,162500
-122.25,37.77,2086,2.975,243400
-122.23,37.76,1303,5.1039,273800
-122.23,37.76,374,4.1458,248500
-122.24,37.76,979,3.4762,244000
-122.24,37.76,827,2.6833,240900
-122.23,37.76,658,5.75,306300
-122.23,37.75,654,3.9632,240000
-122.24,37.75,384,4.9489,247100
-122.24,37.75,1499,4.8711,286600
-122.24,37.76,1128,3.0718,266700
-122.24,37.76,1110,3.6719,229800
-122.24,37.76,1119,4.6094,229300
-122.24,37.73,2930,4.5213,228400
-122.25,37.74,897,4.4562,206200
-122.24,37.72,7427,7.611,350700
-122.27,37.73,2973,3.2689,231000
-122.25,37.76,1340,3.567,252900
-122.27,37.74,2974,3.6875,353900
-122.27,37.77,2690,4.7695,291700
-122.28,37.75,583,3.1972,100000
-122.06,37.77,5781,7.2634,341600
-122.06,37.73,1738,7.0568,412500
-122.06,37.71,1478,4.635,248600
-122.07,37.71,746,5.3015,254900
-122.07,37.71,1235,4.9801,241500
-122.07,37.72,1411,5.4834,295200
-122.08,37.72,1368,6.187,340400
-122.08,37.72,1048,5.6194,274700
-122.08,37.71,1004,5.4639,238600
-122.09,37.71,1086,5.1498,266400
-122.1,37.72,922,5.8382,330200
-122.11,37.71,1950,4.65,206800
-122.1,37.7,1413,4.3819,209200
-122.1,37.69,1444,3.7222,195800
-122.09,37.71,749,5.2855,253500
-122.09,37.7,867,4.3375,241800
-122.1,37.71,2723,5.2131,252500
-122.09,37.7,731,6.005,263900
-122.08,37.71,781,5.0519,227000
-122.08,37.71,1784,4.8237,220900
-122.08,37.7,1156,5.2497,259300
-122.07,37.7,645,4.125,232500
-122.06,37.7,821,4.6005,231600
-122.06,37.7,1912,3.5187,209400
-122.07,37.7,1487,3,223200
-122.08,37.7,1645,3.4934,209900
-122.09,37.7,2239,2.9861,208200
-122.07,37.69,1021,2.5362,203800
-122.08,37.69,1105,3.3021,195700
-122.07,37.69,2999,3.0964,190500
-122.08,37.69,740,2.8512,181000
-122.08,37.69,629,3.3478,184900
-122.08,37.68,314,2.3958,190800
-122.08,37.68,1479,3.5295,242200
-122.09,37.69,1732,4.8036,188300
-122.15,37.74,1338,3.851,183500
-122.14,37.74,440,4.0662,204200
-122.14,37.73,922,4.6042,251900
-122.15,37.74,611,2.2,187500
-122.16,37.73,994,4.1164,198200
-122.15,37.74,545,3.95,219000
-122.15,37.73,317,4.9135,275000
-122.15,37.73,1573,2.8355,245400
-122.17,37.73,925,3.25,177500
-122.16,37.73,768,2.8301,171600
-122.17,37.73,620,3.7159,183300
-122.16,37.73,425,2.5625,175000
-122.18,37.72,1003,3.8047,156700
-122.18,37.71,519,3.375,157500
-122.17,37.71,481,3.244,179800
-122.18,37.7,1209,4.0268,205500
-122.18,37.7,1398,3.3906,178900
-122.19,37.71,158,5.5461,262500
-122.17,37.72,1817,3.371,165000
-122.17,37.72,766,3.5313,159700
-122.17,37.72,814,3.663,158300
-122.16,37.72,618,2.875,144800
-122.17,37.72,2139,4.0202,166300
-122.16,37.71,632,4.5553,191000
-122.16,37.71,366,3.4643,175000
-122.16,37.72,877,3.3431,137500
-122.15,37.73,830,2.1898,141700
-122.15,37.72,739,2.9097,210900
-122.15,37.72,540,3.375,198300
-122.15,37.72,2024,2.8125,157400
-122.14,37.73,823,5,264700
-122.14,37.73,711,3.0673,218400
-122.14,37.73,931,3.8125,235100
-122.13,37.73,686,6.9096,341800
-122.13,37.72,1030,7.912,367300
-122.13,37.72,976,3.8393,243500
-122.12,37.71,552,4,167900
-122.13,37.72,340,6.5095,371200
-122.14,37.72,288,3.5156,218900
-122.14,37.72,555,2.983,202700
-122.13,37.72,1006,3.524,186200
-122.13,37.71,776,3.1103,188900
-122.13,37.71,609,3.5781,180000
-122.15,37.71,2441,3.1682,202700
-122.14,37.71,1364,2.6101,181700
-122.14,37.71,2197,3.6932,166800
-122.13,37.7,1333,3.4583,183700
-122.13,37.7,1810,3.9032,218000
-122.15,37.71,531,4.0208,191500
-122.15,37.7,672,3.5547,194700
-122.14,37.7,695,4.5859,187200
-122.13,37.7,2162,2.6321,223100
-122.13,37.69,1216,3.395,271300
-122.14,37.7,606,3.9702,194100
-122.16,37.7,1203,5.0043,190400
-122.14,37.69,874,4.4659,189100
-122.15,37.69,637,3.6625,184600
-122.15,37.69,703,3.8864,197300
-122.15,37.7,733,3.4583,192600
-122.16,37.69,625,3.7813,192200
-122.16,37.7,568,2.9917,194600
-122.16,37.7,836,4.4375,193500
-122.17,37.7,952,4,202600
-122.16,37.68,568,2.3869,83300
-122.17,37.69,1125,4.7609,212600
-122.18,37.68,840,5.4858,187800
-122.16,37.69,796,4.3971,205700
-122.15,37.69,863,4.0109,192900
-122.15,37.68,1349,4.3864,205200
-122.15,37.68,929,4.2841,213400
-122.15,37.69,957,5.1312,183600
-122.14,37.69,1093,2.9958,178400
-122.14,37.68,1489,3.6364,219200
-122.14,37.68,1561,2.7955,183100
-122.1,37.69,1256,2.9507,157100
-122.12,37.69,695,3.4375,157800
-122.13,37.69,560,2.875,161700
-122.12,37.71,632,3.0345,152100
-122.12,37.7,1849,2.679,144900
-122.12,37.7,1287,2.9922,179900
-122.12,37.69,1580,4.1042,179100
-122.12,37.7,1571,2.5833,159900
-122.11,37.7,828,2.1552,161400
-122.11,37.7,835,2.3274,170400
-122.11,37.7,1765,2.4206,137500
-122.1,37.69,387,3.9063,178400
-122.11,37.69,1562,2.6464,155200
-122.11,37.69,768,3.4643,160900
-122.12,37.69,1140,2.3973,167300
-122.03,37.69,83,6.5,340000
-121.97,37.64,485,6.0574,431000
-122.02,37.63,1189,3.8958,301100
-122.04,37.63,586,4.7813,241900
-122.05,37.63,2240,3.2829,162500
-122.04,37.66,867,5.3169,299200
-122.04,37.65,3827,6.2579,315500
-122.05,37.68,3827,5.1701,216800
-122.07,37.68,1280,3.25,218100
-122.06,37.68,2667,3.1796,170300
-122.08,37.68,253,2.4196,275000
-122.08,37.68,1401,2.6563,184100
-122.08,37.67,233,0.9637,160000
-122.09,37.67,673,2.3357,175000
-122.09,37.68,704,3.5114,197500
-122.09,37.69,273,3.3125,150000
-122.09,37.68,1120,2.4042,205600
-122.09,37.68,1105,2.8322,170300
-122.09,37.68,569,2.5156,190900
-122.1,37.68,691,3.4032,196900
-122.1,37.68,1109,2.535,174000
-122.11,37.68,1197,2.5772,170200
-122.1,37.68,1061,3.0962,180900
-122.1,37.67,2479,2.9564,150500
-122.1,37.68,1162,3.125,167100
-122.12,37.68,1146,2.95,148900
